dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
balance-scale, 625, 4, ODRI_T, 82, 0.1312, false, 0.2784, 0.6347007017880153, 0.6920353982300885, 0.662090664322667, 0.6934450943748559, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 82, 0.1312, true, 0.2976, 0.6475278688524589, 0.7024, 0.6737518061595811, 0.7240356083086054, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 83, 0.1328, false, 0.2864, 0.6296471782905539, 0.6859649122807018, 0.6565640179247367, 0.6901782783388574, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 83, 0.1328, true, 0.3056, 0.6402723069355633, 0.6944, 0.666115510584476, 0.7166172106824926, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 84, 0.1344, false, 0.2784, 0.630279514131463, 0.6887298747763864, 0.6579773490890104, 0.6877977736107351, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 84, 0.1344, true, 0.304, 0.6419230712440015, 0.696, 0.6676427843803056, 0.7181008902077152, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 85, 0.136, false, 0.2896, 0.6264491563621372, 0.6813380281690141, 0.6526402522881395, 0.6853581952687108, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 85, 0.136, true, 0.3152, 0.6317876978018596, 0.6848, 0.6568730275534838, 0.7077151335311573, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 86, 0.1376, false, 0.2992, 0.6205008086468241, 0.6736474694589878, 0.6451921014337061, 0.68058286926991, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 86, 0.1376, true, 0.3216, 0.6264972310991073, 0.6784, 0.6503303236560634, 0.701780415430267, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
